role,age,mainGroup,code,medianPay,percent10,percent20,percent25,percent30,percent40,percent60,percent70,percent75,percent80,percent90
"Managers, directors and senior officials",18-21,TRUE,1,9.17,x,x,8.16,8.18,8.53,9.84,10.76,10.85,11.77,x
Corporate managers and directors,18-21,,11,9.81,x,x,x,x,8.80,x,10.85,x,x,x
Other managers and proprietors,18-21,,12,8.18,x,x,x,x,x,x,x,x,x,x
Professional occupations,18-21,TRUE,2,12.20,x,10.35,x,10.60,11.77,12.94,14.03,14.69,x,x
"Science, research, engineering and technology professionals",18-21,,21,x,x,x,x,x,x,x,x,x,x,x
Health professionals,18-21,,22,12.57,x,x,x,x,12.20,x,x,x,x,x
Teaching and educational professionals,18-21,,23,12.89,x,x,x,x,x,x,x,x,x,x
"Business, media and public service professionals",18-21,,24,11.16,x,x,x,x,x,x,x,x,x,x
Associate professional and technical occupations,18-21,TRUE,3,9.17,7.48,7.82,8.15,8.46,8.85,9.74,10.63,11.01,11.41,x
"Science, engineering and technology associate professionals",18-21,,31,8.74,x,x,x,x,8.23,9.16,x,x,x,x
Health and social care associate professionals,18-21,,32,9.16,x,x,x,x,x,x,x,x,x,x
Protective service occupations,18-21,,33,9.32,x,x,x,x,x,x,x,x,x,x
"Culture, media and sports occupations",18-21,,34,8.56,x,x,x,x,x,x,x,x,x,x
Business and public service associate professionals,18-21,,35,9.30,7.40,7.98,8.17,8.47,9.05,9.84,10.53,11.01,11.34,x
Administrative and secretarial occupations,18-21,TRUE,4,8.43,6.03,7.25,7.46,7.61,7.99,8.81,9.42,9.71,10.06,11.26
Administrative occupations,18-21,,41,8.53,6.00,7.22,7.50,7.66,8.08,8.96,9.57,9.87,10.09,11.34
Secretarial and related occupations,18-21,,42,8.00,5.93,7.25,7.32,7.49,7.84,8.32,8.80,9.03,x,x
Skilled trades occupations,18-21,TRUE,5,7.92,x,6.06,6.98,7.15,7.52,8.37,8.86,9.13,9.34,x
Skilled agricultural and related trades,18-21,,51,,,,,,,,,,,
"Skilled metal, electrical and electronic trades",18-21,,52,x,x,x,x,x,x,x,x,x,x,x
Skilled construction and building trades,18-21,,53,x,x,x,x,x,x,x,x,x,x,x
"Textiles, printing and other skilled trades",18-21,,54,8.03,x,x,x,7.28,7.50,8.46,8.85,x,x,x
"Caring, leisure and other service occupations",18-21,TRUE,6,7.65,5.81,6.95,7.05,7.11,7.48,8.00,8.44,8.64,9.04,10.02
Caring personal service occupations,18-21,,61,7.74,6.23,7.04,7.09,7.22,7.50,8.05,8.46,8.72,9.06,10.02
"Leisure, travel and related personal service occupations",18-21,,62,7.31,x,5.60,5.66,6.01,6.78,7.82,8.02,8.45,x,x
Sales and customer service occupations,18-21,TRUE,7,8.23,6.45,7.43,7.51,7.65,7.94,8.50,9.00,9.26,9.52,x
Sales occupations,18-21,,71,7.97,6.36,7.06,7.44,7.50,7.67,8.24,8.50,8.66,9.00,x
Customer service occupations,18-21,,72,8.93,7.22,7.75,7.94,8.13,8.44,9.35,9.72,9.98,10.20,x
"Process, plant and machine operatives",18-21,TRUE,8,7.75,x,7.26,7.48,x,7.50,7.96,8.11,8.31,x,x
"Process, plant and machine operatives",18-21,,81,7.71,x,7.20,x,7.50,7.50,7.95,8.10,8.20,x,x
Transport and mobile machine drivers and operatives,18-21,,82,,,,,,,,,,,
Elementary occupations,18-21,TRUE,9,7.50,5.65,6.44,6.70,7.05,7.20,7.63,7.78,7.92,8.08,x
